,FREQ,REF_AREA,SEX,AGE,EDU_LEV_HIGHEST,TIME_PERIOD,OBS_VALUE
270,A,ITC,2,Y15-74,13,2023,69.204
271,A,ITC,2,Y15-74,13,2024,53.361
272,A,ITC,2,Y15-74,7,2023,89.151
273,A,ITC,2,Y15-74,7,2024,78.759
274,A,ITC,2,Y15-74,99,2023,184.191
275,A,ITC,2,Y15-74,99,2024,162.699
276,A,ITC,2,Y25-34,99,2023,36.273
277,A,ITC,2,Y25-34,99,2024,29.628
278,A,ITC,2,Y35-44,99,2023,43.643
279,A,ITC,2,Y35-44,99,2024,41.016
280,A,ITC,2,Y35-49,11,2023,9.145
281,A,ITC,2,Y35-49,11,2024,10.74
282,A,ITC,2,Y35-49,13,2023,26.85
283,A,ITC,2,Y35-49,13,2024,21.394
284,A,ITC,2,Y35-49,7,2023,31.28
285,A,ITC,2,Y35-49,7,2024,28.389
286,A,ITC,2,Y35-49,99,2023,67.275
287,A,ITC,2,Y35-49,99,2024,60.523
288,A,ITC,2,Y45-54,99,2023,46.95
289,A,ITC,2,Y45-54,99,2024,38.333
290,A,ITC,2,Y50-64,11,2023,3.574
291,A,ITC,2,Y50-64,11,2024,5.448
292,A,ITC,2,Y50-64,13,2023,26.648
293,A,ITC,2,Y50-64,13,2024,20.274
294,A,ITC,2,Y50-64,7,2023,15.999
295,A,ITC,2,Y50-64,7,2024,17.706
296,A,ITC,2,Y50-64,99,2023,46.221
297,A,ITC,2,Y50-64,99,2024,43.428
298,A,ITC,2,Y50-74,11,2023,3.619
299,A,ITC,2,Y50-74,11,2024,5.491
300,A,ITC,2,Y50-74,13,2023,28.735
301,A,ITC,2,Y50-74,13,2024,21.71
302,A,ITC,2,Y50-74,7,2023,16.715
303,A,ITC,2,Y50-74,7,2024,18.391
304,A,ITC,2,Y50-74,99,2023,49.07
305,A,ITC,2,Y50-74,99,2024,45.592
306,A,ITC,2,Y55-64,99,2023,22.903
307,A,ITC,2,Y55-64,99,2024,24.602
308,A,ITC,2,Y65-74,99,2023,2.849
309,A,ITC,2,Y65-74,99,2024,2.164
310,A,ITC,9,Y15-24,99,2023,74.803
311,A,ITC,9,Y15-24,99,2024,63.183
312,A,ITC,9,Y15-29,99,2023,116.738
313,A,ITC,9,Y15-29,99,2024,101.459
314,A,ITC,9,Y15-34,11,2023,25.147
315,A,ITC,9,Y15-34,11,2024,25.764
316,A,ITC,9,Y15-34,13,2023,38.069
317,A,ITC,9,Y15-34,13,2024,33.55
318,A,ITC,9,Y15-34,7,2023,84.575
319,A,ITC,9,Y15-34,7,2024,73.025
320,A,ITC,9,Y15-34,99,2023,147.791
321,A,ITC,9,Y15-34,99,2024,132.339
322,A,ITC,9,Y15-64,11,2023,44.6
323,A,ITC,9,Y15-64,11,2024,49.363
324,A,ITC,9,Y15-64,13,2023,138.67
325,A,ITC,9,Y15-64,13,2024,113.944
326,A,ITC,9,Y15-64,7,2023,162.182
327,A,ITC,9,Y15-64,7,2024,150.693
328,A,ITC,9,Y15-64,99,2023,345.452
329,A,ITC,9,Y15-64,99,2024,314.001
330,A,ITC,9,Y15-74,11,2023,44.809
331,A,ITC,9,Y15-74,11,2024,49.406
332,A,ITC,9,Y15-74,13,2023,141.531
333,A,ITC,9,Y15-74,13,2024,116.225
334,A,ITC,9,Y15-74,7,2023,163.144
335,A,ITC,9,Y15-74,7,2024,151.379
336,A,ITC,9,Y15-74,99,2023,349.485
337,A,ITC,9,Y15-74,99,2024,317.009
338,A,ITC,9,Y25-34,99,2023,72.988
339,A,ITC,9,Y25-34,99,2024,69.156
340,A,ITC,9,Y35-44,99,2023,72.014
341,A,ITC,9,Y35-44,99,2024,69.033
342,A,ITC,9,Y35-49,11,2023,13.668
343,A,ITC,9,Y35-49,11,2024,14.82
344,A,ITC,9,Y35-49,13,2023,49.531
345,A,ITC,9,Y35-49,13,2024,39.586
346,A,ITC,9,Y35-49,7,2023,46.679
347,A,ITC,9,Y35-49,7,2024,46.173
348,A,ITC,9,Y35-49,99,2023,109.877
349,A,ITC,9,Y35-49,99,2024,100.578
350,A,ITC,9,Y45-54,99,2023,75.57
351,A,ITC,9,Y45-54,99,2024,68.783
352,A,ITC,9,Y50-64,11,2023,5.785
353,A,ITC,9,Y50-64,11,2024,8.779
354,A,ITC,9,Y50-64,13,2023,51.07
355,A,ITC,9,Y50-64,13,2024,40.809
356,A,ITC,9,Y50-64,7,2023,30.928
357,A,ITC,9,Y50-64,7,2024,31.496
358,A,ITC,9,Y50-64,99,2023,87.783
359,A,ITC,9,Y50-64,99,2024,81.084
360,A,ITC,9,Y50-74,11,2023,5.994
361,A,ITC,9,Y50-74,11,2024,8.823
362,A,ITC,9,Y50-74,13,2023,53.931
363,A,ITC,9,Y50-74,13,2024,43.089
364,A,ITC,9,Y50-74,7,2023,31.891
365,A,ITC,9,Y50-74,7,2024,32.181
366,A,ITC,9,Y50-74,99,2023,91.817
367,A,ITC,9,Y50-74,99,2024,84.092
368,A,ITC,9,Y55-64,99,2023,50.076
369,A,ITC,9,Y55-64,99,2024,43.847
370,A,ITC,9,Y65-74,99,2023,4.033
371,A,ITC,9,Y65-74,99,2024,3.009
372,A,ITCD,1,Y15-24,99,2023,70.118
373,A,ITCD,1,Y15-24,99,2024,56.76
374,A,ITCD,1,Y15-29,99,2023,105.152
375,A,ITCD,1,Y15-29,99,2024,92.395
376,A,ITCD,1,Y15-34,11,2023,20.598
377,A,ITCD,1,Y15-34,11,2024,19.04
378,A,ITCD,1,Y15-34,13,2023,38.247
379,A,ITCD,1,Y15-34,13,2024,35.407
380,A,ITCD,1,Y15-34,7,2023,73.279
381,A,ITCD,1,Y15-34,7,2024,63.313
382,A,ITCD,1,Y15-34,99,2023,132.123
383,A,ITCD,1,Y15-34,99,2024,117.76
384,A,ITCD,1,Y15-64,11,2023,32.369
385,A,ITCD,1,Y15-64,11,2024,30.621
386,A,ITCD,1,Y15-64,13,2023,113.898
387,A,ITCD,1,Y15-64,13,2024,96.673
388,A,ITCD,1,Y15-64,7,2023,123.691
389,A,ITCD,1,Y15-64,7,2024,109.844
390,A,ITCD,1,Y15-64,99,2023,269.958
391,A,ITCD,1,Y15-64,99,2024,237.138
392,A,ITCD,1,Y15-74,11,2023,32.799
393,A,ITCD,1,Y15-74,11,2024,30.79
394,A,ITCD,1,Y15-74,13,2023,114.739
395,A,ITCD,1,Y15-74,13,2024,97.702
396,A,ITCD,1,Y15-74,7,2023,124.434
397,A,ITCD,1,Y15-74,7,2024,110.145
398,A,ITCD,1,Y15-74,99,2023,271.971
399,A,ITCD,1,Y15-74,99,2024,238.637
400,A,ITCD,1,Y25-34,99,2023,62.005
401,A,ITCD,1,Y25-34,99,2024,61.0
402,A,ITCD,1,Y35-44,99,2023,44.437
403,A,ITCD,1,Y35-44,99,2024,42.191
404,A,ITCD,1,Y35-49,11,2023,7.567
405,A,ITCD,1,Y35-49,11,2024,6.414
406,A,ITCD,1,Y35-49,13,2023,33.215
407,A,ITCD,1,Y35-49,13,2024,27.269
408,A,ITCD,1,Y35-49,7,2023,26.871
409,A,ITCD,1,Y35-49,7,2024,26.883
410,A,ITCD,1,Y35-49,99,2023,67.652
411,A,ITCD,1,Y35-49,99,2024,60.565
412,A,ITCD,1,Y45-54,99,2023,48.889
413,A,ITCD,1,Y45-54,99,2024,46.135
414,A,ITCD,1,Y50-64,11,2023,4.204
415,A,ITCD,1,Y50-64,11,2024,5.167
416,A,ITCD,1,Y50-64,13,2023,42.437
417,A,ITCD,1,Y50-64,13,2024,33.997
418,A,ITCD,1,Y50-64,7,2023,23.542
419,A,ITCD,1,Y50-64,7,2024,19.649
420,A,ITCD,1,Y50-64,99,2023,70.183
421,A,ITCD,1,Y50-64,99,2024,58.812
422,A,ITCD,1,Y50-74,11,2023,4.634
423,A,ITCD,1,Y50-74,11,2024,5.336
424,A,ITCD,1,Y50-74,13,2023,43.277
425,A,ITCD,1,Y50-74,13,2024,35.026
426,A,ITCD,1,Y50-74,7,2023,24.285
427,A,ITCD,1,Y50-74,7,2024,19.949
428,A,ITCD,1,Y50-74,99,2023,72.196
429,A,ITCD,1,Y50-74,99,2024,60.311
430,A,ITCD,1,Y55-64,99,2023,44.509
431,A,ITCD,1,Y55-64,99,2024,31.052
432,A,ITCD,1,Y65-74,99,2023,2.013
433,A,ITCD,1,Y65-74,99,2024,1.499
434,A,ITCD,2,Y15-24,99,2023,56.687
435,A,ITCD,2,Y15-24,99,2024,42.064
436,A,ITCD,2,Y15-29,99,2023,92.206
437,A,ITCD,2,Y15-29,99,2024,71.888
438,A,ITCD,2,Y15-34,11,2023,26.872
439,A,ITCD,2,Y15-34,11,2024,25.053
440,A,ITCD,2,Y15-34,13,2023,23.777
441,A,ITCD,2,Y15-34,13,2024,20.485
442,A,ITCD,2,Y15-34,7,2023,69.469
443,A,ITCD,2,Y15-34,7,2024,53.007
444,A,ITCD,2,Y15-34,99,2023,120.117
445,A,ITCD,2,Y15-34,99,2024,98.545
446,A,ITCD,2,Y15-64,11,2023,51.212
