REF_AREA,MARRIAGE_RITE,TIME_PERIOD,OBS_VALUE,NOTE_REF_AREA
ITC11,CIVIL,2018,65.4,FILTER__ITC1
ITC11,CIVIL,2019,68.0,FILTER__ITC1
ITC11,CIVIL,2020,82.0,FILTER__ITC1
ITC11,CIVIL,2021,70.0,FILTER__ITC1
ITC11,CIVIL,2022,72.2,FILTER__ITC1
ITC11,CIVIL,2023,74.9,FILTER__ITC1
ITC11,REL,2014,44.3,FILTER__ITC1
ITC11,REL,2015,40.5,FILTER__ITC1
ITC11,REL,2016,38.5,FILTER__ITC1
ITC11,REL,2017,35.6,FILTER__ITC1
ITC11,REL,2018,34.6,FILTER__ITC1
ITC11,REL,2019,32.0,FILTER__ITC1
ITC11,REL,2020,18.0,FILTER__ITC1
ITC11,REL,2021,30.0,FILTER__ITC1
ITC11,REL,2022,27.8,FILTER__ITC1
ITC11,REL,2023,25.1,FILTER__ITC1
ITC12,ALL,2014,100.0,FILTER__ITC1
ITC12,ALL,2015,100.0,FILTER__ITC1
ITC12,ALL,2016,100.0,FILTER__ITC1
ITC12,ALL,2017,100.0,FILTER__ITC1
ITC12,ALL,2018,100.0,FILTER__ITC1
ITC12,ALL,2019,100.0,FILTER__ITC1
ITC12,ALL,2020,100.0,FILTER__ITC1
ITC12,ALL,2021,100.0,FILTER__ITC1
ITC12,ALL,2022,100.0,FILTER__ITC1
ITC12,ALL,2023,100.0,FILTER__ITC1
ITC12,CIVIL,2014,59.0,FILTER__ITC1
ITC12,CIVIL,2015,56.9,FILTER__ITC1
ITC12,CIVIL,2016,60.6,FILTER__ITC1
ITC12,CIVIL,2017,66.3,FILTER__ITC1
ITC12,CIVIL,2018,70.3,FILTER__ITC1
ITC12,CIVIL,2019,65.4,FILTER__ITC1
ITC12,CIVIL,2020,82.4,FILTER__ITC1
ITC12,CIVIL,2021,74.1,FILTER__ITC1
ITC12,CIVIL,2022,74.2,FILTER__ITC1
ITC12,CIVIL,2023,74.0,FILTER__ITC1
ITC12,REL,2014,41.0,FILTER__ITC1
ITC12,REL,2015,43.1,FILTER__ITC1
ITC12,REL,2016,39.4,FILTER__ITC1
ITC12,REL,2017,33.7,FILTER__ITC1
ITC12,REL,2018,29.7,FILTER__ITC1
ITC12,REL,2019,34.6,FILTER__ITC1
ITC12,REL,2020,17.6,FILTER__ITC1
ITC12,REL,2021,25.9,FILTER__ITC1
ITC12,REL,2022,25.8,FILTER__ITC1
ITC12,REL,2023,26.0,FILTER__ITC1
ITC13,ALL,2014,100.0,FILTER__ITC1
ITC13,ALL,2015,100.0,FILTER__ITC1
ITC13,ALL,2016,100.0,FILTER__ITC1
ITC13,ALL,2017,100.0,FILTER__ITC1
ITC13,ALL,2018,100.0,FILTER__ITC1
ITC13,ALL,2019,100.0,FILTER__ITC1
ITC13,ALL,2020,100.0,FILTER__ITC1
ITC13,ALL,2021,100.0,FILTER__ITC1
ITC13,ALL,2022,100.0,FILTER__ITC1
ITC13,ALL,2023,100.0,FILTER__ITC1
ITC13,CIVIL,2014,54.3,FILTER__ITC1
ITC13,CIVIL,2015,62.0,FILTER__ITC1
ITC13,CIVIL,2016,64.1,FILTER__ITC1
ITC13,CIVIL,2017,65.7,FILTER__ITC1
ITC13,CIVIL,2018,69.3,FILTER__ITC1
ITC13,CIVIL,2019,70.7,FILTER__ITC1
ITC13,CIVIL,2020,82.2,FILTER__ITC1
ITC13,CIVIL,2021,74.3,FILTER__ITC1
ITC13,CIVIL,2022,77.9,FILTER__ITC1
ITC13,CIVIL,2023,77.6,FILTER__ITC1
ITC13,REL,2014,45.7,FILTER__ITC1
ITC13,REL,2015,38.0,FILTER__ITC1
ITC13,REL,2016,35.9,FILTER__ITC1
ITC13,REL,2017,34.3,FILTER__ITC1
ITC13,REL,2018,30.7,FILTER__ITC1
ITC13,REL,2019,29.3,FILTER__ITC1
ITC13,REL,2020,17.8,FILTER__ITC1
ITC13,REL,2021,25.7,FILTER__ITC1
ITC13,REL,2022,22.1,FILTER__ITC1
ITC13,REL,2023,22.4,FILTER__ITC1
ITC14,ALL,2014,100.0,FILTER__ITC1
ITC14,ALL,2015,100.0,FILTER__ITC1
ITC14,ALL,2016,100.0,FILTER__ITC1
ITC14,ALL,2017,100.0,FILTER__ITC1
ITC14,ALL,2018,100.0,FILTER__ITC1
ITC14,ALL,2019,100.0,FILTER__ITC1
ITC14,ALL,2020,100.0,FILTER__ITC1
ITC14,ALL,2021,100.0,FILTER__ITC1
ITC14,ALL,2022,100.0,FILTER__ITC1
ITC14,ALL,2023,100.0,FILTER__ITC1
ITC14,CIVIL,2014,49.7,FILTER__ITC1
ITC14,CIVIL,2015,57.9,FILTER__ITC1
ITC14,CIVIL,2016,56.0,FILTER__ITC1
ITC14,CIVIL,2017,58.8,FILTER__ITC1
ITC14,CIVIL,2018,57.2,FILTER__ITC1
ITC14,CIVIL,2019,59.4,FILTER__ITC1
ITC14,CIVIL,2020,83.0,FILTER__ITC1
ITC14,CIVIL,2021,66.3,FILTER__ITC1
ITC14,CIVIL,2022,63.2,FILTER__ITC1
ITC14,CIVIL,2023,67.0,FILTER__ITC1
ITC14,REL,2014,50.3,FILTER__ITC1
ITC14,REL,2015,42.1,FILTER__ITC1
ITC14,REL,2016,44.0,FILTER__ITC1
ITC14,REL,2017,41.2,FILTER__ITC1
ITC14,REL,2018,42.8,FILTER__ITC1
ITC14,REL,2019,40.6,FILTER__ITC1
ITC14,REL,2020,17.0,FILTER__ITC1
ITC14,REL,2021,33.7,FILTER__ITC1
ITC14,REL,2022,36.8,FILTER__ITC1
ITC14,REL,2023,33.0,FILTER__ITC1
ITC15,ALL,2014,100.0,FILTER__ITC1
ITC15,ALL,2015,100.0,FILTER__ITC1
ITC15,ALL,2016,100.0,FILTER__ITC1
ITC15,ALL,2017,100.0,FILTER__ITC1
ITC15,ALL,2018,100.0,FILTER__ITC1
ITC15,ALL,2019,100.0,FILTER__ITC1
ITC15,ALL,2020,100.0,FILTER__ITC1
ITC15,ALL,2021,100.0,FILTER__ITC1
ITC15,ALL,2022,100.0,FILTER__ITC1
ITC15,ALL,2023,100.0,FILTER__ITC1
ITC15,CIVIL,2014,56.8,FILTER__ITC1
ITC15,CIVIL,2015,58.7,FILTER__ITC1
ITC15,CIVIL,2016,61.1,FILTER__ITC1
ITC15,CIVIL,2017,62.5,FILTER__ITC1
ITC15,CIVIL,2018,65.1,FILTER__ITC1
ITC15,CIVIL,2019,69.1,FILTER__ITC1
ITC15,CIVIL,2020,80.0,FILTER__ITC1
ITC15,CIVIL,2021,68.0,FILTER__ITC1
ITC15,CIVIL,2022,69.8,FILTER__ITC1
ITC15,CIVIL,2023,73.2,FILTER__ITC1
ITC15,REL,2014,43.2,FILTER__ITC1
ITC15,REL,2015,41.3,FILTER__ITC1
ITC15,REL,2016,38.9,FILTER__ITC1
ITC15,REL,2017,37.5,FILTER__ITC1
ITC15,REL,2018,34.9,FILTER__ITC1
ITC15,REL,2019,30.9,FILTER__ITC1
ITC15,REL,2020,20.0,FILTER__ITC1
ITC15,REL,2021,32.0,FILTER__ITC1
ITC15,REL,2022,30.2,FILTER__ITC1
ITC15,REL,2023,26.8,FILTER__ITC1
ITC16,ALL,2014,100.0,FILTER__ITC1
ITC16,ALL,2015,100.0,FILTER__ITC1
ITC16,ALL,2016,100.0,FILTER__ITC1
ITC16,ALL,2017,100.0,FILTER__ITC1
ITC16,ALL,2018,100.0,FILTER__ITC1
ITC16,ALL,2019,100.0,FILTER__ITC1
ITC16,ALL,2020,100.0,FILTER__ITC1
ITC16,ALL,2021,100.0,FILTER__ITC1
ITC16,ALL,2022,100.0,FILTER__ITC1
ITC16,ALL,2023,100.0,FILTER__ITC1
ITC16,CIVIL,2014,46.0,FILTER__ITC1
ITC16,CIVIL,2015,48.0,FILTER__ITC1
ITC16,CIVIL,2016,52.8,FILTER__ITC1
ITC16,CIVIL,2017,54.1,FILTER__ITC1
ITC16,CIVIL,2018,54.3,FILTER__ITC1
ITC16,CIVIL,2019,59.1,FILTER__ITC1
ITC16,CIVIL,2020,73.9,FILTER__ITC1
ITC16,CIVIL,2021,59.2,FILTER__ITC1
ITC16,CIVIL,2022,61.2,FILTER__ITC1
ITC16,CIVIL,2023,65.8,FILTER__ITC1
ITC16,REL,2014,54.0,FILTER__ITC1
ITC16,REL,2015,52.0,FILTER__ITC1
ITC16,REL,2016,47.2,FILTER__ITC1
ITC16,REL,2017,45.9,FILTER__ITC1
ITC16,REL,2018,45.7,FILTER__ITC1
ITC16,REL,2019,40.9,FILTER__ITC1
ITC16,REL,2020,26.1,FILTER__ITC1
ITC16,REL,2021,40.8,FILTER__ITC1
ITC16,REL,2022,38.8,FILTER__ITC1
ITC16,REL,2023,34.2,FILTER__ITC1
ITC17,ALL,2014,100.0,FILTER__ITC1
ITC17,ALL,2015,100.0,FILTER__ITC1
ITC17,ALL,2016,100.0,FILTER__ITC1
ITC17,ALL,2017,100.0,FILTER__ITC1
ITC17,ALL,2018,100.0,FILTER__ITC1
ITC17,ALL,2019,100.0,FILTER__ITC1
ITC17,ALL,2020,100.0,FILTER__ITC1
ITC17,ALL,2021,100.0,FILTER__ITC1
ITC17,ALL,2022,100.0,FILTER__ITC1
ITC17,ALL,2023,100.0,FILTER__ITC1
ITC17,CIVIL,2014,55.9,FILTER__ITC1
ITC17,CIVIL,2015,55.0,FILTER__ITC1
ITC17,CIVIL,2016,57.0,FILTER__ITC1
ITC17,CIVIL,2017,63.7,FILTER__ITC1
ITC17,CIVIL,2018,63.8,FILTER__ITC1
ITC17,CIVIL,2019,64.5,FILTER__ITC1
ITC17,CIVIL,2020,81.9,FILTER__ITC1
ITC17,CIVIL,2021,68.0,FILTER__ITC1
ITC17,CIVIL,2022,71.6,FILTER__ITC1
ITC17,CIVIL,2023,73.2,FILTER__ITC1
ITC17,REL,2014,44.1,FILTER__ITC1
ITC17,REL,2015,45.0,FILTER__ITC1
ITC17,REL,2016,43.0,FILTER__ITC1
ITC17,REL,2017,36.3,FILTER__ITC1
ITC17,REL,2018,36.2,FILTER__ITC1
ITC17,REL,2019,35.5,FILTER__ITC1
ITC17,REL,2020,18.1,FILTER__ITC1
ITC17,REL,2021,32.0,FILTER__ITC1
ITC17,REL,2022,28.4,FILTER__ITC1
ITC17,REL,2023,26.8,FILTER__ITC1
ITC18,ALL,2014,100.0,FILTER__ITC1
ITC18,ALL,2015,100.0,FILTER__ITC1
ITC18,ALL,2016,100.0,FILTER__ITC1
ITC18,ALL,2017,100.0,FILTER__ITC1
ITC18,ALL,2018,100.0,FILTER__ITC1
ITC18,ALL,2019,100.0,FILTER__ITC1
ITC18,ALL,2020,100.0,FILTER__ITC1
ITC18,ALL,2021,100.0,FILTER__ITC1
ITC18,ALL,2022,100.0,FILTER__ITC1
ITC18,ALL,2023,100.0,FILTER__ITC1
ITC18,CIVIL,2014,56.3,FILTER__ITC1
ITC18,CIVIL,2015,60.8,FILTER__ITC1
ITC18,CIVIL,2016,62.1,FILTER__ITC1
ITC18,CIVIL,2017,66.4,FILTER__ITC1
ITC18,CIVIL,2018,66.9,FILTER__ITC1
ITC18,CIVIL,2019,67.2,FILTER__ITC1
ITC18,CIVIL,2020,81.7,FILTER__ITC1
ITC18,CIVIL,2021,70.7,FILTER__ITC1
ITC18,CIVIL,2022,69.3,FILTER__ITC1
ITC18,CIVIL,2023,73.1,FILTER__ITC1
ITC18,REL,2014,43.7,FILTER__ITC1
ITC18,REL,2015,39.2,FILTER__ITC1
ITC18,REL,2016,37.9,FILTER__ITC1
ITC18,REL,2017,33.6,FILTER__ITC1
ITC18,REL,2018,33.1,FILTER__ITC1
ITC18,REL,2019,32.8,FILTER__ITC1
ITC18,REL,2020,18.3,FILTER__ITC1
ITC18,REL,2021,29.3,FILTER__ITC1
ITC18,REL,2022,30.7,FILTER__ITC1
ITC18,REL,2023,26.9,FILTER__ITC1
ITC2,ALL,2014,100.0,FILTER__ITC2
ITC2,ALL,2015,100.0,FILTER__ITC2
ITC2,ALL,2016,100.0,FILTER__ITC2
ITC2,ALL,2017,100.0,FILTER__ITC2
ITC2,ALL,2018,100.0,FILTER__ITC2
ITC2,ALL,2019,100.0,FILTER__ITC2
ITC2,ALL,2020,100.0,FILTER__ITC2
ITC2,ALL,2021,100.0,FILTER__ITC2
ITC2,ALL,2022,100.0,FILTER__ITC2
ITC2,ALL,2023,100.0,FILTER__ITC2
ITC2,CIVIL,2014,56.4,FILTER__ITC2
ITC2,CIVIL,2015,64.7,FILTER__ITC2
ITC2,CIVIL,2016,70.5,FILTER__ITC2
ITC2,CIVIL,2017,71.3,FILTER__ITC2
ITC2,CIVIL,2018,67.8,FILTER__ITC2
ITC2,CIVIL,2019,68.9,FILTER__ITC2
ITC2,CIVIL,2020,82.1,FILTER__ITC2
ITC2,CIVIL,2021,75.6,FILTER__ITC2
ITC2,CIVIL,2022,70.8,FILTER__ITC2
ITC2,CIVIL,2023,75.2,FILTER__ITC2
ITC2,REL,2014,43.6,FILTER__ITC2
ITC2,REL,2015,35.3,FILTER__ITC2
ITC2,REL,2016,29.5,FILTER__ITC2
ITC2,REL,2017,28.7,FILTER__ITC2
ITC2,REL,2018,32.2,FILTER__ITC2
ITC2,REL,2019,31.1,FILTER__ITC2
ITC2,REL,2020,17.9,FILTER__ITC2
ITC2,REL,2021,24.4,FILTER__ITC2
ITC2,REL,2022,29.2,FILTER__ITC2
ITC2,REL,2023,24.8,FILTER__ITC2
ITC20,ALL,2014,100.0,FILTER__ITC2
ITC20,ALL,2015,100.0,FILTER__ITC2
ITC20,ALL,2016,100.0,FILTER__ITC2
ITC20,ALL,2017,100.0,FILTER__ITC2
ITC20,ALL,2018,100.0,FILTER__ITC2
ITC20,ALL,2019,100.0,FILTER__ITC2
ITC20,ALL,2020,100.0,FILTER__ITC2
ITC20,ALL,2021,100.0,FILTER__ITC2
ITC20,ALL,2022,100.0,FILTER__ITC2
ITC20,ALL,2023,100.0,FILTER__ITC2
ITC20,CIVIL,2014,56.4,FILTER__ITC2
ITC20,CIVIL,2015,64.7,FILTER__ITC2
ITC20,CIVIL,2016,70.5,FILTER__ITC2
ITC20,CIVIL,2017,71.3,FILTER__ITC2
ITC20,CIVIL,2018,67.8,FILTER__ITC2
ITC20,CIVIL,2019,68.9,FILTER__ITC2
ITC20,CIVIL,2020,82.1,FILTER__ITC2
ITC20,CIVIL,2021,75.6,FILTER__ITC2
ITC20,CIVIL,2022,70.8,FILTER__ITC2
ITC20,CIVIL,2023,75.2,FILTER__ITC2
ITC20,REL,2014,43.6,FILTER__ITC2
ITC20,REL,2015,35.3,FILTER__ITC2
ITC20,REL,2016,29.5,FILTER__ITC2
ITC20,REL,2017,28.7,FILTER__ITC2
ITC20,REL,2018,32.2,FILTER__ITC2
ITC20,REL,2019,31.1,FILTER__ITC2
ITC20,REL,2020,17.9,FILTER__ITC2
ITC20,REL,2021,24.4,FILTER__ITC2
ITC20,REL,2022,29.2,FILTER__ITC2
ITC20,REL,2023,24.8,FILTER__ITC2
ITC3,ALL,2014,100.0,FILTER__ITC3
ITC3,ALL,2015,100.0,FILTER__ITC3
ITC3,ALL,2016,100.0,FILTER__ITC3
ITC3,ALL,2017,100.0,FILTER__ITC3
ITC3,ALL,2018,100.0,FILTER__ITC3
ITC3,ALL,2019,100.0,FILTER__ITC3
ITC3,ALL,2020,100.0,FILTER__ITC3
ITC3,ALL,2021,100.0,FILTER__ITC3
ITC3,ALL,2022,100.0,FILTER__ITC3
ITC3,ALL,2023,100.0,FILTER__ITC3
ITC3,CIVIL,2014,59.3,FILTER__ITC3
ITC3,CIVIL,2015,62.2,FILTER__ITC3
ITC3,CIVIL,2016,63.6,FILTER__ITC3
ITC3,CIVIL,2017,66.5,FILTER__ITC3
ITC3,CIVIL,2018,67.1,FILTER__ITC3
ITC3,CIVIL,2019,70.6,FILTER__ITC3
ITC3,CIVIL,2020,81.0,FILTER__ITC3
ITC3,CIVIL,2021,72.7,FILTER__ITC3
ITC3,CIVIL,2022,71.4,FILTER__ITC3
ITC3,CIVIL,2023,74.6,FILTER__ITC3
ITC3,REL,2014,40.7,FILTER__ITC3
ITC3,REL,2015,37.8,FILTER__ITC3
ITC3,REL,2016,36.4,FILTER__ITC3
ITC3,REL,2017,33.5,FILTER__ITC3
ITC3,REL,2018,32.9,FILTER__ITC3
ITC3,REL,2019,29.4,FILTER__ITC3
ITC3,REL,2020,19.0,FILTER__ITC3
ITC3,REL,2021,27.3,FILTER__ITC3
ITC3,REL,2022,28.6,FILTER__ITC3
ITC3,REL,2023,25.4,FILTER__ITC3
ITC31,ALL,2014,100.0,FILTER__ITC3
ITC31,ALL,2015,100.0,FILTER__ITC3
ITC31,ALL,2016,100.0,FILTER__ITC3
ITC31,ALL,2017,100.0,FILTER__ITC3
ITC31,ALL,2018,100.0,FILTER__ITC3
ITC31,ALL,2019,100.0,FILTER__ITC3
ITC31,ALL,2020,100.0,FILTER__ITC3
ITC31,ALL,2021,100.0,FILTER__ITC3
ITC31,ALL,2022,100.0,FILTER__ITC3
